Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,CD4,4754.5674,3485.2659,930.9869,247.6404,2134.1499,341.6011,293.382,345.9906
LungImg1.ome.tif,,1762.153,2167.5183,868.8196,284.2922,1314.1301,389.2283,269.3858,290.8927
LungImg1.ome.tif,CD4,3345.3728,2905,1027.1978,255.4576,2383.0791,380.6836,234.0339,387.0565
LungImg1.ome.tif,CD4,4703.5996,2200.5881,1224.002,252.5249,2642.8352,552.3486,390.0326,496.182
LungImg1.ome.tif,CD4,4300.5806,3386.886,978.5576,260.3717,1841.8153,393.3877,273.5131,292.935
LungImg1.ome.tif,,3371.0642,2571.5154,706.9715,259.5511,1657.2303,357.2732,249.2803,305.2708
LungImg1.ome.tif,CD4,4468.3965,2577.6167,719.7928,245.0954,1939.8503,379.6135,230.3882,443.5148
LungImg1.ome.tif,CD4,4520.4683,2180.7773,1163.583,239.6877,2332.0432,371.588,243.7359,415.5482
LungImg1.ome.tif,CD4,3363.7979,2315.342,808.8375,250.3857,1881.8217,485.004,257.5297,313.5218
LungImg1.ome.tif,CD8,5498.7622,2314.2087,1605.2831,240.2722,1033.3793,1474.902,252.1561,333.6824
LungImg1.ome.tif,,1800.5786,4994.5659,679.6541,249.0252,1413.3711,393.2201,230.3774,299.7736
LungImg1.ome.tif,CD4,7276.3438,2149.2634,1227.1755,239.2557,3483.248,401.271,300.8244,317.2443
LungImg1.ome.tif,,6255.627,2731.4492,664.5381,246.3807,1353.5837,479.335,279.0584,312.0634
LungImg1.ome.tif,CD4,1679.08,2092.5642,833.76,243.5421,1956.2745,316.1021,232.5903,270.6124
LungImg1.ome.tif,CD4,5464.5469,2788.6223,817.3698,236.3854,2044.849,410.7682,299.1615,315.6875
